indicator,date,rate
open,2023-10-13 19:59:00,178.4
high,2023-10-13 19:59:00,178.41
low,2023-10-13 19:59:00,178.34
close,2023-10-13 19:59:00,178.36
open,2023-10-13 19:58:00,178.41
high,2023-10-13 19:58:00,178.41
low,2023-10-13 19:58:00,178.33
close,2023-10-13 19:58:00,178.4
open,2023-10-13 19:57:00,178.45
high,2023-10-13 19:57:00,178.45
low,2023-10-13 19:57:00,178.41
close,2023-10-13 19:57:00,178.45
open,2023-10-13 19:56:00,178.455
high,2023-10-13 19:56:00,178.5
low,2023-10-13 19:56:00,178.42
close,2023-10-13 19:56:00,178.42
open,2023-10-13 19:55:00,178.47
high,2023-10-13 19:55:00,178.5
low,2023-10-13 19:55:00,178.45
close,2023-10-13 19:55:00,178.5
open,2023-10-13 19:54:00,178.5
high,2023-10-13 19:54:00,178.52
low,2023-10-13 19:54:00,178.45
close,2023-10-13 19:54:00,178.485
open,2023-10-13 19:53:00,178.475
high,2023-10-13 19:53:00,178.5
low,2023-10-13 19:53:00,178.47
close,2023-10-13 19:53:00,178.47
open,2023-10-13 19:52:00,178.5
high,2023-10-13 19:52:00,178.5
low,2023-10-13 19:52:00,178.43
close,2023-10-13 19:52:00,178.45
open,2023-10-13 19:51:00,178.515
high,2023-10-13 19:51:00,178.53
low,2023-10-13 19:51:00,178.49
close,2023-10-13 19:51:00,178.49
open,2023-10-13 19:50:00,178.515
high,2023-10-13 19:50:00,178.515
low,2023-10-13 19:50:00,178.5
close,2023-10-13 19:50:00,178.515
open,2023-10-13 19:49:00,178.52
high,2023-10-13 19:49:00,178.53
low,2023-10-13 19:49:00,178.515
close,2023-10-13 19:49:00,178.515
open,2023-10-13 19:48:00,178.5
high,2023-10-13 19:48:00,178.53
low,2023-10-13 19:48:00,178.5
close,2023-10-13 19:48:00,178.5
open,2023-10-13 19:47:00,178.51
high,2023-10-13 19:47:00,178.51
low,2023-10-13 19:47:00,178.5
close,2023-10-13 19:47:00,178.51
open,2023-10-13 19:46:00,178.51
high,2023-10-13 19:46:00,178.51
low,2023-10-13 19:46:00,178.5
close,2023-10-13 19:46:00,178.51
open,2023-10-13 19:45:00,178.53
high,2023-10-13 19:45:00,178.53
low,2023-10-13 19:45:00,178.5
close,2023-10-13 19:45:00,178.5
open,2023-10-13 19:44:00,178.53
high,2023-10-13 19:44:00,178.53
low,2023-10-13 19:44:00,178.51
close,2023-10-13 19:44:00,178.51
open,2023-10-13 19:43:00,178.52
high,2023-10-13 19:43:00,178.53
low,2023-10-13 19:43:00,178.51
close,2023-10-13 19:43:00,178.51
open,2023-10-13 19:42:00,178.52
